Key,Context,Example,Source,en-us,ar-001,de-de,es-es,fr-fr,hi-in,id-id,it-it,ja-jp,ko-kr,pl-pl,pt-br,ru-ru,th-th,tr-tr,vi-vn,zh-cjv,zh-cn,zh-tw
Studio.SocialPresence.Plugin.Button,,,Toggle,Toggle,,Umschalten,Alternar,Basculer,,Nyalakan/matikan,Attiva/disattiva,切りかえ,전환,Przełącz,Alternar,,เปิด/ปิด,Aç/Kapa,Bật/tắt,切换,切换,切換
Studio.SocialPresence.Settings.SaveToRoblox,,,Save to Roblox,Save to Roblox,,Auf Roblox speichern,Guardar en Roblox,Sauvegarder dans Roblox,,Simpan ke Roblox,Salva su Roblox,Robloxに保存,Roblox에 저장,Zapisz na platformie Roblox,Salvar na Roblox,,บันทึกไปยัง Roblox,Roblox'a kaydet,Lưu vào Roblox,保存至 Roblox,保存至 Roblox,儲存至 Roblox
Studio.SocialPresence.Collaborator.Editing,,,Editing <b>%s</b>,Editing <b>%s</b>,,Bearbeitet <b>%s</b>,Edición <b>%s</b>,Modification de <b>%s</b>,,Mengedit <b>%s</b>,Sta modificando <b>%s</b>,編集中 <b>%s</b>,<b>%s</b> 편집 중,Edytuje: <b>%s</b>,Editando <b>%s</b>,,กำลังแก้ไข <b>%s</b>,<b>%s</b> düzenleniyor,Đang chỉnh sửa <b>%s</b>,编辑进度 <b>%s</b>,编辑进度 <b>%s</b>,正在編輯 <b>%s</b>
Studio.SocialPresence.Collaborator.Idle,,,Inactive,Inactive,,Inaktiv,Inactivo,Inactif,,Tidak aktif,Inattivo,停止中,비활성,Brak aktywności,Inativo,,ไม่ได้ใช้งาน,Etkin değil,Không Hoạt Động,不活跃,不活跃,非活動中
Studio.SocialPresence.Settings.SaveToRobloxText,,,Save and enable Team Create to build this place with your friends.,Save and enable Team Create to build this place with your friends.,,"Speichere und aktiviere Team Create, um diesen Ort mit deinen Freunden zu bauen.",Guarda y activa la Creación en equipo para construir este lugar junto con tus amigos.,Sauvegarde et active la fonction Création en équipe pour construire ce lieu avec tes amis.,,Simpan dan aktifkan Kreasi Bersama untuk membangun tempat ini bersama teman.,Salva e abilita Team Crea per costruire questo posto con i tuoi amici.,このプレースを友達と一緒に制作するには、保存して、チーム制作をオンにします。,팀 제작을 활성화하고 이를 저장해 친구와 함께 이 플레이스를 만드세요.,"Zapisz i włącz tworzenie zespołowe, aby budować to miejsce ze znajomymi.",Salvar e ativar a Criação em equipe para construir este local junto com suas amizades.,,บันทึกและเปิดใช้งานการสร้างร่วมกับเพื่อนเพื่อสร้างสถานที่นี้กับเพื่อนๆ ของคุณ,Mekânı arkadaşlarınla birlikte inşa etmek için kaydet ve Takım Çalışması özelliğini etkinleştir.,Lưu và bật Team Create để xây dựng địa điểm này với bạn bè của bạn.,保存并启用组队创作，即可和好友一同构建此场景。,保存并启用组队创作，即可和好友一同构建此场景。,儲存並啟用團隊創作，與好友一同建造此地點。
Studio.SocialPresence.Settings.EnableTeamCreateText,,,Enable Team Create to edit this place with your friends.,Enable Team Create to edit this place with your friends.,,"Aktiviere Team Create, um diesen Ort mit deinen Freunden zu bearbeiten.",Activa la Creación en equipo para construir este lugar junto con tus amigos.,Activer la fonction Création en équipe pour modifier ce lieu avec tes amis.,,Aktifkan Kreasi Bersama untuk mengedit tempat ini bersama teman.,Abilita Team Crea per modificare questo posto con i tuoi amici.,チーム制作をオンにして友達と一緒にこのプレースを編集。,팀 제작을 활성화해 친구와 함께 이 플레이스를 편집하세요.,"Włącz tworzenie zespołowe, aby edytować to miejsce ze znajomymi.",Habilite a Criação em equipe para editar este lugar com suas amizades.,,เปิดใช้งานการสร้างร่วมกับเพื่อนเพื่อแก้ไขสถานที่นี้กับเพื่อนๆ ของคุณ,Mekânı arkadaşlarınla birlikte düzenlemek için Takım Çalışması özelliğini etkinleştir.,Bật Team Create để chỉnh sửa địa điểm này với bạn bè của bạn.,启用组队创作，即可和好友一同构建此场景。,启用组队创作，即可和好友一同构建此场景。,啟用團隊創作，與好友一同編輯此地點。
Studio.SocialPresence.Plugin.Toolbar,,,Live Collaborators,Live Collaborators,,Live-Mitwirkende,Colaboradores en vivo,Collaborateurs en direct,,Kolaborator Aktif,Collaboratori attivi,ライブ中の共同制作者,실시간 공동 작업자,Aktywni współtwórcy,Colaboradores ao vivo,,ผู้ร่วมงานที่เผยแพร่แล้ว,Aktif Ortak Çalışanlar,Cộng Tác Viên Trực Tiếp,实时协作者,实时协作者,即時協作者
Studio.SocialPresence.Collaborator.Workspace,,,Editing the <b>workspace</b>,Editing the <b>workspace</b>,,Editiert den <b>Arbeitsbereich</b>,Editando el <b>espacio de trabajo</b>,Modifier <b>l'espace de travail</b>,,Mengedit <b>workspace</b>,Sta modificando l'<b>area di lavoro</b>,<b>ワークスペース</b> を編集中,<b>작업 공간</b> 편집 중,Edytuje <b>przestrzeń roboczą</b>,Editando a <b>área de trabalho</b>,,กำลังแก้ไข <b>workspace</b>,<b>Atölye</b> düzenleniyor,Đang chỉnh sửa <b>workspace</b>,编辑<b>工作区</b>,编辑<b>工作区</b>,正在編輯<b>工作區</b>
Studio.SocialPresence.Plugin.Name,,,Live Collaborators,Live Collaborators,,Live-Mitwirkende,Colaboradores en vivo,Collaborateurs en direct,,Kolaborator Aktif,Collaboratori attivi,ライブ中の共同制作者,실시간 공동 작업자,Aktywni współtwórcy,Colaboradores ao vivo,,ผู้ร่วมงานที่เผยแพร่แล้ว,Aktif Ortak Çalışanlar,Cộng Tác Viên Trực Tiếp,实时协作者,实时协作者,即時協作者
Studio.SocialPresence.Plugin.Description,,,View other collaborators,View other collaborators,,Andere Mitwirkende anzeigen,Ver otros colaboradores,Voir les autres collaborateurs,,Lihat kolaborator lain,Vedi altri collaboratori,他の共同制作者を表示,다른 공동 작업자 보기,Wyświetl innych współtwórców,Visualizar outros colaboradores,,ดูผู้ร่วมงานคนอื่น,Diğer ortak çalışanları görüntüle,Xem các cộng tác viên khác,查看其他协作者,查看其他协作者,檢視其他協作者
