Key,Context,Example,Source,en-us,ar-001,de-de,es-es,fr-fr,id-id,it-it,ja-jp,ko-kr,pl-pl,pt-br,ru-ru,th-th,tr-tr,vi-vn,zh-cjv,zh-cn,zh-tw
Studio.TestingControls.Tooltip.JoinTeamTest,,,Join the ongoing Team Test,Join the ongoing Team Test,,Dem laufenden Teamtest beitreten,Únete a la prueba en equipo en curso,,Gabung Tes Tim yang sedang berlangsung,Unisciti al test team in corso,,진행 중인 팀 테스트에 참가합니다,Dołącz do trwającego testu zespołu,Junte-se ao teste en equipe em andamento,,เข้าร่วมการทดสอบแบบเป็นทีมที่ดำเนินอยู่,Devam eden Ekip Testine katıl,Tham gia Thử Nghiệm Nhóm đang diễn ra,,,加入進行中的團隊測試
Studio.TestingControls.Title.JoinTeamTest,,,Join Team Test,Join Team Test,,Teamtest beitreten,Unirse a Prueba en equipo,,Gabung Tes Tim,Unisciti al test team,,팀 테스트 참가,Dołącz do testu zespołu,Participar do teste em equipe,,เข้าร่วมการทดสอบแบบเป็นทีม,Ekip Testine katıl,Tham gia Thử Nghiệm Nhóm,,,加入團隊測試
Studio.TestingControls.Title.Exit,,,Exit,Exit,,Verlassen,Salir,,Keluar,Esci,,나가기,Wyjdź,Sair,,ออก,Çık,Thoát,,,退出
Studio.TestingControls.Tooltip.LaunchClients,,,Select the number of clients to start the simulation,Select the number of clients to start the simulation,,"Wähle die Anzahl der Clients aus, mit denen die Simulation gestartet werden soll",,,Pilih jumlah klien untuk memulai simulasi,Seleziona il numero di client per avviare la simulazione,,시뮬레이션을 시작할 클라이언트 수를 선택하세요,"Wybierz liczbę klientów, aby rozpocząć symulację",,,เลือกจำนวนของไคลเอนต์เพื่อเริ่มการจำลองสถานการณ์,Simülasyonu başlatmak için istemci sayısını seç,Chọn số lượng máy khách để bắt đầu mô phỏng,,,選擇要開始模擬的用戶端數量
Studio.TestingControls.Title.Pause,,,Pause,Pause,,Pausieren,Pausar,,Jeda,Metti in pausa,,일시 중지,Wstrzymaj,Pausar,,หยุดชั่วคราว,Duraklat,Tạm dừng,,,暫停
Studio.TestingControls.Title.PauseServer,,,Pause Server,Pause Server,,Server pausieren,Pausar servidor,,Jeda Server,Metti in pausa il server,,서버 일시 중지,Wstrzymaj serwer,Pausar servidor,,หยุดเซิร์ฟเวอร์ชั่วคราว,Sunucuyu Duraklat,Tạm dừng Máy chủ,,,暫停伺服器
Studio.TestingControls.Title.PauseClient,,,Pause Client,Pause Client,,Client pausieren,Pausar cliente,,Jeda Klien,Metti in pausa il client,,클라이언트 일시 중지,Wstrzymaj klienta,Pausar cliente,,หยุดไคลเอนต์ชั่วคราว,İstemciyi Duraklat,Tạm dừng Máy khách,,,暫停用戶端
Studio.TestingControls.Title.Resume,,,Resume,Resume,,Fortsetzen,Reanudar,,Lanjutkan,Riprendi,,재개,Wznów,Retomar,,ดำเนินการต่อ,Sürdür,Tiếp tục,,,繼續
Studio.TestingControls.Title.ResumeClient,,,Resume Client,Resume Client,,Client fortsetzen,Reanudar cliente,,Lanjutkan Klien,Riprendi client,,클라이언트 재개,Wznów klienta,Retomar cliente,,ให้ไคลเอนต์ทำงานต่อ,İstemciyi Sürdür,Tiếp tục Máy khách,,,繼續用戶端
Studio.TestingControls.Title.ResumeServer,,,Resume Server,Resume Server,,Server fortsetzen,Reanudar servidor,,Lanjutkan Server,Riprendi server,,서버 재개,Wznów serwer,Retomar servidor,,ให้เซิร์ฟเวอร์ทำงานต่อ,Sunucuyu Sürdür,Tiếp tục Máy chủ,,,繼續伺服器
Studio.TestingControls.Tooltip.Pause,,,"Pause all physics, rendering, and animations","Pause all physics, rendering, and animations",,"Alle Physik-, Rendering- und Animationsprozesse pausieren","Pausa todas las físicas, los procesamientos y las animaciones",,"Jeda semua fisika, render, dan animasi","Metti in pausa tutte le simulazioni fisiche, i rendering e le animazioni",,"모든 물리, 렌더링, 애니메이션을 일시 중지합니다","Wstrzymaj wszystkie elementy fizyki, renderowanie i animacje","Pausar todas as físicas, renderizações e animações",,"หยุดระบบฟิสิกส์, การเรนเดอร์ และแอนิเมชันทั้งหมดชั่วคราว","Tüm fiziği, işlemeyi ve animasyonları duraklat","Tạm dừng tất cả các hiệu ứng vật lý, kết xuất và hiệu ứng động",,,暫停所有物理運算、成像和動畫
Studio.TestingControls.Tooltip.PauseServer,,,"Pause server physics, rendering, and animations","Pause server physics, rendering, and animations",,"Serverphysik, Rendering und Animationen pausieren","Pausa las físicas, los procesamientos y las animaciones del servidor",,"Jeda server, fisika, render, dan animasi","Metti in pausa le simulazioni fisiche, i rendering e le animazioni sul server",,"서버 물리, 렌더링, 애니메이션을 일시 중지합니다","Wstrzymaj elementy fizyki, renderowanie i animacje na serwerze","Pausar todas as físicas, renderizações e animações",,"หยุดระบบฟิสิกส์, การเรนเดอร์ และแอนิเมชันของเซิร์ฟเวอร์ชั่วคราว","Sunucu fiziğini, işlemesini ve animasyonlarını duraklat","Tạm dừng các hiệu ứng vật lý, kết xuất và hiệu ứng động cho máy chủ",,,暫停伺服器物理運算、成像和動畫
Studio.TestingControls.Tooltip.PauseClient,,,"Pause client physics, rendering, and animations","Pause client physics, rendering, and animations",,"Client-Physik, Rendering und Animationen pausieren","Pausa las físicas, los procesamientos y las animaciones del cliente",,"Jeda fisika, render, dan animasi klien","Metti in pausa le simulazioni fisiche, i rendering e le animazioni sul client",,"클라이언트 물리, 렌더링, 애니메이션을 일시 중지합니다","Wstrzymaj elementy fizyki, renderowanie i animacje na kliencie","Pausar todas as físicas, renderizações e animações",,"หยุดระบบฟิสิกส์, การเรนเดอร์ และแอนิเมชันของไคลเอนต์ชั่วคราว","İstemci fiziğini, işlemesini ve animasyonlarını duraklat","Tạm dừng các hiệu ứng vật lý, kết xuất và hiệu ứng động cho máy khách",,,暫停用戶端物理運算、成像和動畫
Studio.TestingControls.Tooltip.Resume,,,"Resume all physics, rendering, and animations","Resume all physics, rendering, and animations",,"Alle Physik-, Rendering- und Animationsprozesse fortsetzen","Reanuda todas las físicas, los procesamientos y las animaciones",,"Lanjutkan semua fisika, render, dan animasi","Riprendi tutte le simulazioni fisiche, i rendering e le animazioni",,"모든 물리, 렌더링, 애니메이션을 재개합니다","Wznów wszystkie elementy fizyki, renderowanie i animacje","Retomar todas as físicas, renderizações e animações",,"ให้ระบบฟิสิกส์, การเรนเดอร์ และแอนิเมชันทั้งหมดทำงานต่อ","Tüm fiziği, işlemeyi ve animasyonları sürdür","Tiếp tục tất cả các hiệu ứng vật lý, kết xuất và hiệu ứng động",,,繼續所有物理運算、成像和動畫
Studio.TestingControls.Tooltip.ResumeServer,,,"Resume server physics, rendering, and animations","Resume server physics, rendering, and animations",,"Serverphysik, Rendering und Animationen fortsetzen","Reanuda las físicas, los procesamientos y las animaciones del servidor",,"Lanjutkan server, fisika, render, dan animasi","Riprendi le simulazioni fisiche, i rendering e le animazioni sul server",,"서버 물리, 렌더링, 애니메이션을 재개합니다","Wznów elementy fizyki, renderowanie i animacje na serwerze","Retomar todas as físicas, renderizações e animações",,"ให้ระบบฟิสิกส์, การเรนเดอร์ และแอนิเมชันของเซิร์ฟเวอร์ทำงานต่อ","Sunucu fiziğini, işlemesini ve animasyonlarını sürdür","Tiếp tục các hiệu ứng vật lý, kết xuất và hiệu ứng động cho máy chủ",,,繼續伺服器物理運算、成像和動畫
Studio.TestingControls.Tooltip.ResumeClient,,,"Resume client physics, rendering, and animations","Resume client physics, rendering, and animations",,"Client-Physik, Rendering und Animationen fortsetzen","Reanuda las físicas, los procesamientos y las animaciones del cliente",,"Lanjutkan fisika, render, dan animasi klien","Riprendi le simulazioni fisiche, i rendering e le animazioni sul client",,"클라이언트 물리, 렌더링, 애니메이션을 재개합니다","Wznów elementy fizyki, renderowanie i animacje na kliencie","Retomar todas as físicas, renderizações e animações do cliente",,"ให้ระบบฟิสิกส์, การเรนเดอร์ และแอนิเมชันของไคลเอนต์ทำงานต่อ","İstemci fiziğini, işlemesini ve animasyonlarını sürdür","Tiếp tục các hiệu ứng vật lý, kết xuất và hiệu ứng động cho máy khách",,,繼續用戶端物理運算、成像和動畫
Studio.TestingControls.Title.Play,,,Play,Play,,Spielen,Jugar,,Mainkan,Gioca,,플레이,Odtwórz,Jogar,,เล่น,Oyna,Chơi,,,執行
Studio.TestingControls.Tooltip.Play,,,Start simulating the experience,Start simulating the experience,,Simulation des Erlebnisses starten,Empieza a simular la experiencia,,Mulai simulasi pengalaman virtual,Inizia a simulare l'esperienza,,체험 시뮬레이션을 시작합니다,Rozpocznij symulację projektu,Comece a simular a experiência,,เริ่มการจำลองประสบการณ์,Deneyimi test etmeye başla,Bắt đầu mô phỏng trải nghiệm,,,開始模擬體驗
Studio.TestingControls.Title.ResumeScripts,,,Resume Scripts,Resume Scripts,,Scripts fortsetzen,Reanudar scripts,,Lanjutkan Skrip,Riprendi script,,스크립트 재개,Wznów skrypty,Retomar scripts,,ให้สคริปต์ทำงานต่อ,Betikleri sürdür,Tiếp tục Kịch bản,,,繼續指令碼
Studio.TestingControls.Tooltip.ResumeScripts,,,Resume scripts and simulation,Resume scripts and simulation,,Scripts und Simulation fortsetzen,Reanuda los scripts y la simulación,,Lanjutkan skrip dan simulasi,Riprendi script e simulazioni,,스크립트 및 시뮬레이션을 재개합니다,Wznów skrypty i symulację,Retomar scripts e simulação,,ให้สคริปต์และการจำลองสถานการณ์ทำงานต่อ,Betikleri ve simülasyonu sürdür,Tiếp tục kịch bản và mô phỏng,,,繼續指令碼和模擬
Studio.TestingControls.Tooltip.Exit,,,Exit client window,Exit client window,,Client-Fenster verlassen,Salir de la ventana del cliente,,Keluar dari jendela klien,Esci dalla finestra client,,클라이언트 창을 나갑니다,Wyjdź z okna klienta,Sair da janela do cliente,,ออกจากหน้าต่างไคลเอนต์,İstemci penceresinden çık,Thoát cửa số máy khách,,,退出用戶端視窗
Studio.TestingControls.Title.StepForward,,,Step Forward,Step Forward,,Schritt vorwärts,Paso adelante,,Maju ke Depan,Manda avanti,,스텝 포워드,Krok do przodu,Avançar etapa,,เดินหน้า,İleri Adım,Tiến về trước,,,逐步前進
Studio.TestingControls.Tooltip.StepForward,,,Step forward one frame in the simulation,Step forward one frame in the simulation,,In der Simulation einen Frame vorwärtsgehen,Avanza un fotograma en la simulación,,Maju satu bingkai dalam simulasi,Fai un passo avanti di un fotogramma nella simulazione,,시뮬레이션에서 한 프레임 스텝 포워드합니다,Posuń o jedną klatkę do przodu w symulacji,Avance um quadro na simulação,,เดินหน้าหนึ่งเฟรมในการจำลองสถานการณ์,Simülasyonda bir kare ileri adım,Tiến tới một khung hình trong mô phỏng,,,在模擬中前進一個影格
Studio.TestingControls.Title.StepForwardClient,,,Step Forward: Client,Step Forward: Client,,Schritt vorwärts: Client,Paso adelante: Cliente,,Maju ke Depan: Klien,Fai un passo avanti: client,,스텝 포워드: 클라이언트,Posuń o krok do przodu: Klient,Avançar uma etapa: Cliente,,เดินหน้า: ไคลเอนต์,İleri Adım: İstemci,Tiến về trước: Máy khách,,,逐步前進：用戶端
