Key,Context,Source,en-us
Studio.Ribbon.Actions.AdGui,A GUI object that displays ads,AdGui,AdGui
Studio.Ribbon.Actions.LaunchTestMode,Launches a testing session for the currently selected test mode,Launch Test Mode,Launch Test Mode
Studio.Ribbon.Actions.UIFlexItem,Defines flex behavior for its parent GuiObject under the control of a UIListLayout.,UIFlexItem,UIFlexItem
Studio.Ribbon.Plugin.Action.UpdateAvailable,,Update,Update
Studio.Ribbon.Plugin.AddClients,,Add Clients,Add Clients
Studio.Ribbon.Plugin.AddClientsTooltip,,Add Clients to the existing test session,Add Clients to the existing test session
Studio.Ribbon.Plugin.AnchorToolRibbonAction,,Select object to Anchor,Select object to Anchor
Studio.Ribbon.Plugin.DegreesFormat,Format for displaying the degree increment for rotating parts,{amount}°,{amount}°
Studio.Ribbon.Plugin.DockUndockRibbon,,Dock/Undock ribbon,Dock/Undock ribbon
Studio.Ribbon.Plugin.Geometric,,Geometric,Geometric
Studio.Ribbon.Plugin.Lock,,Lock,Lock
Studio.Ribbon.Plugin.LockToolRibbonAction,,Select object to Lock,Select object to Lock
Studio.Ribbon.Plugin.Name,,Ribbon,Ribbon
Studio.Ribbon.Plugin.Physical,,Physical,Physical
Studio.Ribbon.Plugin.PlayersFormat,Format for displaying the number of players to add to a server,{amount} players,{amount} players
Studio.Ribbon.Plugin.PrintActions,,Print Actions,Print Actions
Studio.Ribbon.Plugin.PrintActionsTooltip,,Prints all actions to stdout as JSON,Prints all actions to stdout as JSON
Studio.Ribbon.Plugin.ReloadTabs,,Reload Tabs,Reload Tabs
Studio.Ribbon.Plugin.ReloadTabsTooltip,,"Reloads the Ribbon, using current configuration on disk","Reloads the Ribbon, using current configuration on disk"
Studio.Ribbon.Plugin.Setting.AddClients,,Add Clients,Add Clients
Studio.Ribbon.Plugin.Setting.Anchor,,Anchor,Anchor
Studio.Ribbon.Plugin.Setting.Appearance,,Appearance,Appearance
Studio.Ribbon.Plugin.Setting.Constraint,,Constraint,Constraint
