File Name,MD5 Signature,Compressed Size (bytes),Size (bytes)
ApplicationConfig.zip,9e7221ad4d25d7348de5f887cade14dd,411,400
BuiltInPlugins.zip,72c62f8ccbff23be1e7be4aab39721a5,67198140,67317661
BuiltInStandalonePlugins.zip,68669f9ec1f335237f5dcb125bafe6ef,45749126,45861226
Plugins.zip,b4b04085aaf099cec525e5368992fbf5,964224,2137536
RibbonConfig.zip,081bc28accbba815fdf0589973d35430,9802,89160
StudioFonts.zip,6df04925b4a61fdf50c06ff827eb369a,105391316,132630629
WebView2.zip,cde37c2acfe0b66940f30f55e0448291,81240,158648
WebView2RuntimeInstaller.zip,5af4685be2a700377ec7b86f8db2d145,1486742,1589339
RobloxStudio.zip,0a827d7fccdf159f86cbd6b2df8fd0b5,92721002,182220213
Libraries.zip,b4429abf9c0670dffa5e0ce956037e41,6778766,17040216
LibrariesQt5.zip,c19c3c74646e2723d3d4f03f40f5cb0e,8813539,20687728
content-avatar.zip,8e42a6c83eeb825614c06b1b04a4c236,562201,1699119
content-configs.zip,41244e6b1b910f04f409a8aa9bb83d4c,264010,1188689
content-fonts.zip,30c885074d0320c0932e06bfd537c915,6005683,12339768
content-models.zip,671fb1a7b360b7f4281af5e52acc2c84,491904,1569768
content-qt_translations.zip,9ac41564393da36084990e6dd9d08f50,650142,2218403
content-sky.zip,1d0390337d1a4a58e5514be1a9481ad6,2448711,4304365
content-sounds.zip,32622161783a33a229827a2a0261cc16,597244,627948
shaders.zip,c5dcbf905b32023c149893d0ce196fc1,8250321,48325218
ssl.zip,4f23103d6f2f80089fb6cbaf29008349,133824,234823
content-textures2.zip,d52ff1464bf4b2bcaeeac5f9e7199f9f,13562062,14576069
content-textures3.zip,909f4b9d7bc03a926d35e84d0c99ffbf,3713218,8777652
content-studio_svg_textures.zip,cded07ecb67fe03de6c70b60ea379ded,6923277,5777199
content-terrain.zip,b4b75c21ce05378163042dc45cec5834,3267,26109
content-platform-fonts.zip,8f379ec2b22ff106b837d79f7fdbf0d8,13686751,16427228
content-platform-dictionaries.zip,63c32660b66adeb01369fab346560c7f,193040,648389
content-api-docs.zip,cbdb678df58c27ef9c2b1e28aa369429,512692,5322334
extracontent-scripts.zip,f8636b6cb5e00cb892e0e0f68d9bcf5d,2780593,8548567
extracontent-luapackages.zip,fefe0d9492b93c7184876a7d3bbc100f,10498180,17866441
extracontent-translations.zip,e796de3ed4c2711ebac5edd1e0a062fa,486413,1498718
extracontent-models.zip,1551ae2dcb3df23cfc57135c4828a37c,9452060,9519004
extracontent-textures.zip,8ee84144b8aedf563be82cdd913ea1f4,16694416,16798478
redist.zip,c9622ecfbec2c14d30f390909c563124,1372275,3196216
